"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/SignIn.tsx", "TypeScript JSX", 15, 0, 0, 0, 1, 16
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Snippet.tsx", "TypeScript JSX", 19, 0, 0, 1, 2, 22
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Teleoscope.tsx", "TypeScript JSX", 27, 0, 0, 4, 10, 41
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/TeleoscopeLogo.tsx", "TypeScript JSX", 38, 0, 0, 1, 3, 42
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Teleoscopes.tsx", "TypeScript JSX", 73, 0, 0, 4, 15, 92
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/TopBar.tsx", "TypeScript JSX", 71, 0, 0, 2, 15, 88
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/CloseButton.tsx", "TypeScript JSX", 16, 0, 0, 2, 3, 21
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/Window.tsx", "TypeScript JSX", 79, 0, 0, 6, 8, 93
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/WindowDefinitions.tsx", "TypeScript JSX", 293, 0, 0, 3, 27, 323
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/WindowFactory.tsx", "TypeScript JSX", 33, 0, 0, 0, 6, 39
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/WindowTopBar.tsx", "TypeScript JSX", 22, 0, 0, 3, 5, 30
"Total", "-", 5194, 2639, 36, 170, 769, 8808
